Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
SUB03, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
17.68, 0, 5.67, 47,                              0, 5.67, 42,                              0, 5.67, 244, 0.0,                              45
17.72, 0, 5.71, 47,                              0, 5.71, 42,                              0, 5.71, 246, 0.0,                              45
17.77, 0, 5.75, 48,                              0, 5.75, 42,                              0, 5.75, 248, 0.0,                              45
17.81, 0, 5.8, 48,                              0, 5.8, 43,                              0, 5.8, 250, 0.0,                              45
17.85, 0, 5.84, 48,                              0, 5.84, 43,                              0, 5.84, 252, 0.0,                              45
17.9, 0, 5.88, 49,                              0, 5.88, 43,                              0, 5.88, 254, 0.0,                              45
17.94, 0, 5.93, 49,                              0, 5.93, 44,                              0, 5.93, 256, 0.0,                              45
17.98, 0, 5.97, 50,                              0, 5.97, 44,                              0, 5.97, 257, 0.0,                              45
18.02, 0, 6.01, 50,                              0, 6.01, 44,                              0, 6.01, 259, 0.0,                              45
18.07, 0, 6.05, 50,                              0, 6.05, 45,                              0, 6.05, 261, 0.0,                              45
18.11, 0, 6.1, 51,                              0, 6.1, 45,                              0, 6.1, 263, 0.0,                              45
18.15, 0, 6.14, 51,                              0, 6.14, 45,                              0, 6.14, 265, 0.0,                              0
18.2, 0, 6.19, 51,                              0, 6.19, 46,                              0, 6.19, 267, 0.0,                              0
18.24, 0, 6.23, 52,                              0, 6.23, 46,                              0, 6.23, 269, 0.0,                              0
18.29, 0, 6.27, 52,                              0, 6.27, 46,                              0, 6.27, 271, 0.0,                              0
18.33, 0, 6.32, 52,                              0, 6.32, 47,                              0, 6.32, 273, 0.0,                              0
18.37, 0, 6.36, 53,                              0, 6.36, 47,                              0, 6.36, 274, 0.0,                              0
18.42, 0, 6.4, 53,                              0, 6.4, 47,                              0, 6.4, 276, 0.0,                              0
18.47, 0, 6.46, 54,                              0, 6.46, 48,                              0, 6.46, 279, 0.0,                              0
18.52, 0, 6.51, 54,                              0, 6.51, 48,                              0, 6.51, 281, 0.0,                              0
18.56, 0, 6.55, 54,                              0, 6.55, 48,                              0, 6.55, 283, 0.0,                              0
18.61, 0, 6.6, 55,                              0, 6.6, 49,                              0, 6.6, 285, 0.0,                              0
18.65, 0, 6.64, 55,                              0, 6.64, 49,                              0, 6.64, 287, 0.0,                              0
18.7, 0, 6.68, 56,                              0, 6.68, 49,                              0, 6.68, 288, 0.0,                              0
18.74, 0, 6.73, 56,                              0, 6.73, 50,                              0, 6.73, 290, 0.0,                              0
18.78, 0, 6.77, 56,                              0, 6.77, 50,                              0, 6.77, 292, 0.0,                              0
18.83, 0, 6.81, 57,                              0, 6.81, 50,                              0, 6.81, 294, 0.0,                              0
18.87, 0, 6.86, 57,                              0, 6.86, 51,                              0, 6.86, 296, 0.0,                              0
18.91, 0, 6.9, 57,                              0, 6.9, 51,                              0, 6.9, 298, 0.0,                              0
18.96, 0, 6.94, 58,                              0, 6.94, 51,                              0, 6.94, 300, 0.0,                              0
19.0, 0, 6.99, 58,                              0, 6.99, 52,                              0, 6.99, 302, 0.0,                              0
19.04, 0, 7.03, 58,                              0, 7.03, 52,                              0, 7.03, 303, 0.0,                              0
19.08, 0, 7.07, 59,                              0, 7.07, 52,                              0, 7.07, 305, 0.0,                              0
19.13, 0, 7.11, 59,                              0, 7.11, 53,                              0, 7.11, 307, 0.0,                              0
19.17, 0, 7.16, 60,                              0, 7.16, 53,                              0, 7.16, 309, 0.0,                              0
19.22, 0, 7.2, 60,                              0, 7.2, 53,                              0, 7.2, 311, 0.0,                              0
19.26, 0, 7.24, 60,                              0, 7.24, 54,                              0, 7.24, 313, 0.0,                              0
19.3, 0, 7.29, 61,                              0, 7.29, 54,                              0, 7.29, 315, 0.0,                              0
19.35, 0, 7.33, 61,                              0, 7.33, 54,                              0, 7.33, 317, 0.0,                              0
19.39, 0, 7.38, 61,                              0, 7.38, 55,                              0, 7.38, 319, 0.0,                              0
19.43, 0, 7.42, 62,                              0, 7.42, 55,                              0, 7.42, 320, 0.0,                              0
19.48, 0, 7.46, 62,                              0, 7.46, 55,                              0, 7.46, 322, 0.0,                              0
19.52, 0, 7.51, 62,                              0, 7.51, 55,                              0, 7.51, 324, 0.0,                              0
19.56, 0, 7.55, 63,                              0, 7.55, 56,                              0, 7.55, 326, 0.0,                              0
19.61, 0, 7.59, 63,                              0, 7.59, 56,                              0, 7.59, 328, 0.0,                              0
19.66, 0, 7.64, 64,                              0, 7.64, 56,                              0, 7.64, 330, 0.0,                              0
19.7, 0, 7.69, 64,                              0, 7.69, 57,                              0, 7.69, 332, 0.0,                              0
19.75, 0, 7.74, 64,                              0, 7.74, 57,                              0, 7.74, 334, 0.0,                              0
19.79, 0, 7.78, 65,                              0, 7.78, 58,                              0, 7.78, 336, 0.0,                              0
19.84, 0, 7.83, 65,                              0, 7.83, 58,                              0, 7.83, 338, 0.0,                              0
19.89, 0, 7.87, 66,                              0, 7.87, 58,                              0, 7.87, 340, 0.0,                              0
19.93, 0, 7.92, 66,                              0, 7.92, 59,                              0, 7.92, 342, 0.0,                              0
