Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
Bars, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
19.38, 0, 7.37, 61,                              0, 7.37, 54,                              0, 7.37, 318, 0.0,                              45
19.43, 0, 7.41, 62,                              0, 7.41, 55,                              0, 7.41, 320, 0.0,                              45
19.47, 0, 7.46, 62,                              0, 7.46, 55,                              0, 7.46, 322, 0.0,                              45
19.51, 0, 7.5, 62,                              0, 7.5, 55,                              0, 7.5, 324, 0.0,                              45
19.55, 0, 7.54, 63,                              0, 7.54, 56,                              0, 7.54, 326, 0.0,                              45
19.59, 0, 7.58, 63,                              0, 7.58, 56,                              0, 7.58, 327, 0.0,                              45
19.63, 0, 7.62, 63,                              0, 7.62, 56,                              0, 7.62, 329, 0.0,                              45
19.68, 0, 7.67, 64,                              0, 7.67, 57,                              0, 7.67, 331, 0.0,                              45
19.72, 0, 7.71, 64,                              0, 7.71, 57,                              0, 7.71, 333, 0.0,                              45
19.76, 0, 7.75, 65,                              0, 7.75, 57,                              0, 7.75, 335, 0.0,                              45
19.8, 0, 7.79, 65,                              0, 7.79, 58,                              0, 7.79, 337, 0.0,                              45
19.84, 0, 7.83, 65,                              0, 7.83, 58,                              0, 7.83, 338, 0.0,                              45
19.89, 0, 7.87, 66,                              0, 7.87, 58,                              0, 7.87, 340, 0.0,                              45
19.93, 0, 7.92, 66,                              0, 7.92, 59,                              0, 7.92, 342, 0.0,                              45
19.97, 0, 7.96, 66,                              0, 7.96, 59,                              0, 7.96, 344, 0.0,                              45
20.01, 0, 8.0, 67,                              0, 8.0, 59,                              0, 8.0, 346, 0.0,                              45
20.05, 0, 8.04, 67,                              0, 8.04, 59,                              0, 8.04, 348, 0.0,                              45
20.1, 0, 8.08, 67,                              0, 8.08, 60,                              0, 8.08, 349, 0.0,                              45
20.14, 0, 8.13, 68,                              0, 8.13, 60,                              0, 8.13, 351, 0.0,                              45
20.18, 0, 8.17, 68,                              0, 8.17, 60,                              0, 8.17, 353, 0.0,                              45
20.23, 0, 8.22, 68,                              0, 8.22, 61,                              0, 8.22, 355, 0.0,                              45
20.27, 0, 8.26, 69,                              0, 8.26, 61,                              0, 8.26, 357, 0.0,                              45
20.32, 0, 8.3, 69,                              0, 8.3, 61,                              0, 8.3, 359, 0.0,                              45
20.36, 0, 8.35, 70,                              0, 8.35, 62,                              0, 8.35, 361, 0.0,                              45
20.4, 0, 8.39, 70,                              0, 8.39, 62,                              0, 8.39, 363, 0.0,                              45
20.44, 0, 8.43, 70,                              0, 8.43, 62,                              0, 8.43, 364, 0.0,                              45
20.48, 0, 8.47, 71,                              0, 8.47, 63,                              0, 8.47, 366, 0.0,                              45
20.53, 0, 8.51, 71,                              0, 8.51, 63,                              0, 8.51, 368, 0.0,                              45
20.57, 0, 8.56, 71,                              0, 8.56, 63,                              0, 8.56, 370, 0.0,                              45
20.62, 0, 8.6, 72,                              0, 8.6, 64,                              0, 8.6, 372, 0.0,                              45
20.66, 0, 8.65, 72,                              0, 8.65, 64,                              0, 8.65, 374, 0.0,                              45
20.71, 0, 8.69, 73,                              0, 8.69, 64,                              0, 8.69, 376, 0.0,                              45
20.75, 0, 8.74, 73,                              0, 8.74, 65,                              0, 8.74, 378, 0.0,                              45
20.79, 0, 8.78, 73,                              0, 8.78, 65,                              0, 8.78, 380, 0.0,                              45
20.83, 0, 8.82, 74,                              0, 8.82, 65,                              0, 8.82, 381, 0.0,                              45
20.88, 0, 8.87, 74,                              0, 8.87, 66,                              0, 8.87, 383, 0.0,                              45
20.92, 0, 8.91, 74,                              0, 8.91, 66,                              0, 8.91, 385, 0.0,                              45
20.96, 0, 8.95, 75,                              0, 8.95, 66,                              0, 8.95, 387, 0.0,                              45
21.01, 0, 9.0, 75,                              0, 9.0, 67,                              0, 9.0, 389, 0.0,                              45
21.05, 0, 9.04, 75,                              0, 9.04, 67,                              0, 9.04, 391, 0.0,                              45
21.1, 0, 9.09, 76,                              0, 9.09, 67,                              0, 9.09, 393, 0.0,                              45
21.14, 0, 9.13, 76,                              0, 9.13, 68,                              0, 9.13, 395, 0.0,                              45
21.18, 0, 9.17, 77,                              0, 9.17, 68,                              0, 9.17, 397, 0.0,                              45
21.23, 0, 9.22, 77,                              0, 9.22, 68,                              0, 9.22, 398, 0.0,                              45
21.27, 0, 9.26, 77,                              0, 9.26, 69,                              0, 9.26, 400, 0.0,                              45
21.32, 0, 9.31, 78,                              0, 9.31, 69,                              0, 9.31, 402, 0.0,                              45
21.36, 0, 9.35, 78,                              0, 9.35, 69,                              0, 9.35, 404, 0.0,                              45
21.41, 0, 9.4, 78,                              0, 9.4, 70,                              0, 9.4, 406, 0.0,                              45
21.45, 0, 9.44, 79,                              0, 9.44, 70,                              0, 9.44, 408, 0.0,                              45
21.5, 0, 9.49, 79,                              0, 9.49, 70,                              0, 9.49, 410, 0.0,                              45
21.54, 0, 9.53, 80,                              0, 9.53, 71,                              0, 9.53, 412, 0.0,                              45
21.59, 0, 9.58, 80,                              0, 9.58, 71,                              0, 9.58, 414, 0.0,                              45
21.63, 0, 9.62, 80,                              0, 9.62, 71,                              0, 9.62, 416, 0.0,                              45
21.68, 0, 9.67, 81,                              0, 9.67, 72,                              0, 9.67, 418, 0.0,                              45
21.72, 0, 9.71, 81,                              0, 9.71, 72,                              0, 9.71, 420, 0.0,                              45
21.76, 0, 9.75, 81,                              0, 9.75, 72,                              0, 9.75, 422, 0.0,                              45
21.8, 0, 9.79, 82,                              0, 9.79, 73,                              0, 9.79, 424, 0.0,                              45
21.85, 0, 9.84, 82,                              0, 9.84, 73,                              0, 9.84, 425, 0.0,                              45
21.89, 0, 9.88, 83,                              0, 9.88, 73,                              0, 9.88, 427, 0.0,                              45
21.93, 0, 9.92, 83,                              0, 9.92, 74,                              0, 9.92, 429, 0.0,                              45
21.98, 0, 9.96, 83,                              0, 9.96, 74,                              0, 9.96, 431, 0.0,                              45
22.02, 0, 10.01, 84,                              0, 10.01, 74,                              0, 10.01, 433, 0.0,                              45
22.06, 0, 10.05, 84,                              0, 10.05, 75,                              0, 10.05, 435, 0.0,                              45
22.1, 0, 10.09, 84,                              0, 10.09, 75,                              0, 10.09, 436, 0.0,                              45
22.14, 0, 10.13, 85,                              0, 10.13, 75,                              0, 10.13, 438, 0.0,                              45
22.19, 0, 10.18, 85,                              0, 10.18, 75,                              0, 10.18, 440, 0.0,                              45
22.23, 0, 10.22, 85,                              0, 10.22, 76,                              0, 10.22, 442, 0.0,                              45
22.28, 0, 10.26, 86,                              0, 10.26, 76,                              0, 10.26, 444, 0.0,                              45
22.32, 0, 10.31, 86,                              0, 10.31, 76,                              0, 10.31, 446, 0.0,                              45
22.36, 0, 10.35, 86,                              0, 10.35, 77,                              0, 10.35, 448, 0.0,                              45
22.4, 0, 10.39, 87,                              0, 10.39, 77,                              0, 10.39, 450, 0.0,                              45
22.45, 0, 10.44, 87,                              0, 10.44, 77,                              0, 10.44, 451, 0.0,                              45
22.49, 0, 10.48, 88,                              0, 10.48, 78,                              0, 10.48, 453, 0.0,                              45
22.54, 0, 10.53, 88,                              0, 10.53, 78,                              0, 10.53, 455, 0.0,                              45
22.58, 0, 10.57, 88,                              0, 10.57, 78,                              0, 10.57, 457, 0.0,                              45
22.63, 0, 10.62, 89,                              0, 10.62, 79,                              0, 10.62, 459, 0.0,                              45
22.68, 0, 10.66, 89,                              0, 10.66, 79,                              0, 10.66, 461, 0.0,                              45
